epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.867,1.46315,2.84559,1.54294,0.17102,0.43484,0.18704,0.07856,2.05032,5.84986,2.81502,0.000549423,0.000549423,0.000549423
2,492.643,1.69066,2.13935,1.7442,0.14741,0.19172,0.08942,0.0361,2.04634,8.06494,2.4997,0.00108686,0.00108686,0.00108686
3,748.243,1.7069,2.08135,1.77233,0.22538,0.16853,0.09542,0.03907,2.19556,8.89079,2.63398,0.00160595,0.00160595,0.00160595
4,996.543,1.68924,2.0502,1.75371,0.39744,0.33379,0.29701,0.1367,2.00844,3.43019,2.32629,0.00158448,0.00158448,0.00158448
5,1249.2,1.64832,2.0131,1.7387,0.44045,0.48848,0.418,0.20567,1.80493,3.02187,2.03211,0.00155698,0.00155698,0.00155698
6,1481.53,1.5575,1.85094,1.66974,0.49004,0.40798,0.37807,0.18392,1.84601,2.66727,2.09248,0.00152947,0.00152947,0.00152947
7,1693.22,1.52825,1.76363,1.6379,0.63802,0.48814,0.53809,0.28938,1.61068,1.86679,1.80083,0.00150197,0.00150197,0.00150197
8,1902.61,1.48055,1.66553,1.59032,0.70965,0.53066,0.60615,0.32543,1.60868,1.83368,1.77368,0.00147446,0.00147446,0.00147446
9,2134.84,1.4026,1.55857,1.53568,0.69007,0.52117,0.61855,0.37315,1.48552,1.77205,1.68644,0.00144696,0.00144696,0.00144696
10,2342.76,1.40921,1.51226,1.53704,0.69813,0.58224,0.6341,0.37343,1.49558,1.5428,1.65053,0.00141945,0.00141945,0.00141945
11,2554.7,1.38703,1.51205,1.51835,0.75307,0.62745,0.70561,0.42032,1.41533,1.43648,1.60476,0.00139195,0.00139195,0.00139195
12,2771.63,1.34501,1.42751,1.4763,0.63765,0.57389,0.6204,0.35889,1.53611,1.64104,1.71164,0.00136444,0.00136444,0.00136444
13,2987.47,1.31455,1.36138,1.45114,0.72685,0.61364,0.69246,0.41566,1.46278,1.42619,1.62191,0.00133693,0.00133693,0.00133693
14,3207.09,1.31835,1.34804,1.47414,0.75767,0.66533,0.73667,0.42999,1.45055,1.28703,1.58584,0.00130943,0.00130943,0.00130943
15,3431.77,1.28281,1.32417,1.44295,0.7129,0.66218,0.71807,0.44884,1.35212,1.31488,1.55011,0.00128192,0.00128192,0.00128192
16,3664.15,1.25172,1.25473,1.41515,0.78278,0.62883,0.72862,0.45336,1.33459,1.38142,1.53472,0.00125442,0.00125442,0.00125442
17,3894.22,1.2595,1.24358,1.40848,0.73729,0.655,0.7333,0.46567,1.36568,1.28904,1.53106,0.00122691,0.00122691,0.00122691
18,4107.29,1.22931,1.19306,1.38146,0.78959,0.73142,0.79892,0.51791,1.21953,1.09537,1.42511,0.00119941,0.00119941,0.00119941
19,4320.26,1.22946,1.19877,1.39417,0.79646,0.70759,0.77871,0.48571,1.29681,1.12711,1.45307,0.0011719,0.0011719,0.0011719
20,4529.83,1.20434,1.16773,1.36838,0.78736,0.70636,0.77572,0.49863,1.26659,1.10292,1.44513,0.0011444,0.0011444,0.0011444
21,4761.57,1.20634,1.13066,1.35564,0.79717,0.71874,0.80515,0.51815,1.26772,1.06509,1.46154,0.00111689,0.00111689,0.00111689
22,4980.49,1.17725,1.12126,1.34817,0.8109,0.72543,0.79971,0.52145,1.25201,1.04673,1.44811,0.00108938,0.00108938,0.00108938
23,5196.38,1.16161,1.09222,1.34243,0.80735,0.73402,0.80201,0.52044,1.25123,1.032,1.40624,0.00106188,0.00106188,0.00106188
24,5411.41,1.1586,1.05792,1.33139,0.79563,0.76381,0.81762,0.54606,1.16447,0.97297,1.36214,0.00103437,0.00103437,0.00103437
25,5630.95,1.14101,1.04917,1.31608,0.74598,0.76237,0.79883,0.53236,1.21094,1.02925,1.39306,0.00100687,0.00100687,0.00100687
26,5850.26,1.12943,1.02093,1.31412,0.81126,0.76421,0.8116,0.53281,1.2222,0.99198,1.39756,0.000979362,0.000979362,0.000979362
27,6076.45,1.11642,1.01294,1.29657,0.80101,0.76376,0.80873,0.54066,1.21337,0.99461,1.40767,0.000951857,0.000951857,0.000951857
28,6299.74,1.10488,0.99327,1.28626,0.8281,0.76224,0.83129,0.54928,1.20547,0.92954,1.36882,0.000924352,0.000924352,0.000924352
29,6527.43,1.09527,0.98528,1.28832,0.8315,0.78095,0.84256,0.57322,1.17737,0.91485,1.36592,0.000896846,0.000896846,0.000896846
30,6749.91,1.0821,0.94503,1.28216,0.80218,0.79926,0.84307,0.55916,1.18395,0.92076,1.36955,0.00086934,0.00086934,0.00086934
31,6973.01,1.06623,0.94328,1.26658,0.82838,0.7594,0.82438,0.55519,1.17685,0.94067,1.36215,0.000841835,0.000841835,0.000841835
32,7182.29,1.04767,0.93204,1.25355,0.85422,0.78102,0.85259,0.57553,1.1534,0.87408,1.3565,0.000814329,0.000814329,0.000814329
33,7387.96,1.02861,0.90953,1.2448,0.86372,0.78913,0.85512,0.58614,1.14993,0.85568,1.33167,0.000786824,0.000786824,0.000786824
34,7597.12,1.03079,0.88677,1.24071,0.85532,0.76621,0.83866,0.5747,1.12904,0.89478,1.34298,0.000759318,0.000759318,0.000759318
35,7813.33,1.03208,0.88198,1.23757,0.82693,0.8174,0.85366,0.58719,1.14314,0.84413,1.34396,0.000731813,0.000731813,0.000731813
36,8022.44,1.03633,0.87512,1.24056,0.84362,0.8243,0.87181,0.5914,1.11847,0.81835,1.3035,0.000704307,0.000704307,0.000704307
37,8244.51,1.0073,0.86447,1.22332,0.84612,0.80522,0.86702,0.58693,1.11359,0.80064,1.30037,0.000676802,0.000676802,0.000676802
38,8454.63,1.01118,0.8527,1.21659,0.80326,0.81193,0.84052,0.58116,1.14537,0.86243,1.34007,0.000649297,0.000649297,0.000649297
39,8664.11,0.98383,0.81775,1.21095,0.87367,0.77304,0.85508,0.58723,1.13641,0.82739,1.32148,0.000621791,0.000621791,0.000621791
40,8875.65,0.97021,0.79931,1.19219,0.87132,0.80517,0.86562,0.60642,1.1121,0.79241,1.29178,0.000594286,0.000594286,0.000594286
41,9095.77,0.97223,0.8088,1.1969,0.86048,0.83889,0.88097,0.60303,1.13389,0.76684,1.3127,0.00056678,0.00056678,0.00056678
42,9306.13,0.95008,0.78048,1.18407,0.87683,0.81304,0.87556,0.60019,1.12014,0.78167,1.29938,0.000539275,0.000539275,0.000539275
43,9524.3,0.94814,0.7709,1.18017,0.87357,0.81787,0.87335,0.61402,1.09584,0.77249,1.28159,0.000511769,0.000511769,0.000511769
44,9735.75,0.93827,0.75144,1.17338,0.84694,0.83618,0.86956,0.61331,1.08902,0.76894,1.28525,0.000484263,0.000484263,0.000484263
45,9970.54,0.92805,0.7492,1.1661,0.87585,0.8376,0.88639,0.61572,1.09228,0.73309,1.27751,0.000456758,0.000456758,0.000456758
46,10184.1,0.92767,0.75066,1.17113,0.87572,0.82076,0.88094,0.61176,1.08795,0.74226,1.27692,0.000429253,0.000429253,0.000429253
47,10408.7,0.90253,0.70935,1.14812,0.87858,0.81653,0.8864,0.62568,1.07899,0.70815,1.27091,0.000401747,0.000401747,0.000401747
48,10649.3,0.90363,0.72222,1.14599,0.87914,0.82884,0.88766,0.62741,1.0772,0.70893,1.25953,0.000374242,0.000374242,0.000374242
49,10890.9,0.90384,0.7001,1.15344,0.86817,0.84357,0.89448,0.62775,1.07317,0.70536,1.26847,0.000346736,0.000346736,0.000346736
50,11129.3,0.88128,0.68909,1.13827,0.87305,0.82766,0.8828,0.61898,1.08351,0.72029,1.27549,0.000319231,0.000319231,0.000319231
51,11419.4,0.81933,0.55337,1.10814,0.85655,0.84339,0.87421,0.61688,1.08403,0.73058,1.28631,0.000291725,0.000291725,0.000291725
52,11671.2,0.79401,0.51284,1.0826,0.89644,0.82549,0.8915,0.63028,1.07224,0.7085,1.25841,0.00026422,0.00026422,0.00026422
53,11919.8,0.78316,0.49333,1.08209,0.8852,0.83514,0.88682,0.62479,1.07988,0.70677,1.28261,0.000236714,0.000236714,0.000236714
54,12152.6,0.76702,0.48365,1.06545,0.87228,0.84142,0.88959,0.6308,1.0727,0.70278,1.26658,0.000209209,0.000209209,0.000209209
55,12398.8,0.74915,0.46766,1.06011,0.86889,0.85805,0.90042,0.64169,1.07025,0.68329,1.27667,0.000181703,0.000181703,0.000181703
56,12640.3,0.73814,0.46147,1.04972,0.88603,0.84844,0.8902,0.63737,1.04832,0.68358,1.2647,0.000154198,0.000154198,0.000154198
57,12879.1,0.71682,0.44628,1.03501,0.88793,0.84358,0.89195,0.63978,1.05057,0.67908,1.26241,0.000126692,0.000126692,0.000126692
58,13118.9,0.71225,0.43394,1.02709,0.87243,0.85082,0.88991,0.63965,1.04084,0.67595,1.25043,9.91865e-05,9.91865e-05,9.91865e-05
59,13354.3,0.71241,0.42954,1.03014,0.88364,0.8552,0.88951,0.64194,1.04647,0.66885,1.25492,7.1681e-05,7.1681e-05,7.1681e-05
60,13605,0.70313,0.42417,1.02074,0.87481,0.86115,0.89242,0.64251,1.04649,0.66998,1.25655,4.41755e-05,4.41755e-05,4.41755e-05
